Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
1,Wisconsin,7,199,373,1.87,4,28.43,53.29
2,Georgia,7,206,444,2.16,1,29.43,63.43
3,UTSA,8,255,635,2.49,3,31.88,79.38
4,San Diego State,7,221,557,2.52,2,31.57,79.57
5,Minnesota,7,190,600,3.16,7,27.14,85.71
6,Alabama,8,249,716,2.88,7,31.13,89.5
7,Iowa,7,230,629,2.73,5,32.86,89.86
8,North Carolina State,7,205,640,3.12,1,29.29,91.43
9,UTEP,7,225,648,2.88,7,32.14,92.57
9,Army,7,178,648,3.64,13,25.43,92.57
11,Mississippi State,7,192,650,3.39,4,27.43,92.86
12,Oklahoma State,7,231,660,2.86,8,33,94.29
13,UCLA,8,235,758,3.23,12,29.38,94.75
14,Troy,7,260,666,2.56,5,37.14,95.14
15,Colorado State,7,246,688,2.8,6,35.14,98.29
16,Iowa State,7,238,693,2.91,4,34,99
17,Air Force,8,228,796,3.49,8,28.5,99.5
18,Houston,7,254,733,2.89,7,36.29,104.71
19,West Virginia,7,241,762,3.16,5,34.43,108.86
20,Pittsburgh,7,226,765,3.38,9,32.29,109.29
21,Oklahoma,8,259,894,3.45,7,32.38,111.75
22,UAB,8,285,912,3.2,6,35.63,114
23,Kansas State,7,232,812,3.5,11,33.14,116
24,Oregon State,7,219,813,3.71,10,31.29,116.14
25,Michigan,7,229,816,3.56,3,32.71,116.57
26,Fresno State,8,278,950,3.42,8,34.75,118.75
27,Kentucky,7,222,834,3.76,5,31.71,119.14
28,Michigan State,7,255,835,3.27,5,36.43,119.29
29,Ohio State,7,260,836,3.22,6,37.14,119.43
30,Clemson,7,261,840,3.22,2,37.29,120
31,California,7,225,841,3.74,8,32.14,120.14
32,Liberty,8,305,992,3.25,10,38.13,124
33,Auburn,7,273,869,3.18,6,39,124.14
34,Notre Dame,7,231,872,3.77,9,33,124.57
35,Western Michigan,8,257,1010,3.93,9,32.13,126.25
36,Appalachian State,7,235,886,3.77,11,33.57,126.57
37,San Jose State,8,298,1014,3.4,5,37.25,126.75
38,Texas A&M,8,280,1035,3.7,5,35,129.38
39,Old Dominion,7,265,910,3.43,7,37.86,130
39,South Alabama,7,258,910,3.53,9,36.86,130
41,Arizona State,7,249,912,3.66,9,35.57,130.29
42,Navy,7,233,927,3.98,18,33.29,132.43
43,Syracuse,8,302,1060,3.51,10,37.75,132.5
