,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Georgia,12,947,1809,751,2756,3.67,229.7
2,Wisconsin,12,733,2107,692,2840,4.1,236.7
3,Oklahoma State,12,1123,2254,760,3377,4.44,281.4
4,Minnesota,12,1202,2216,687,3418,4.98,284.8
5,Air Force,12,1144,2324,679,3468,5.11,289
6,Houston,12,1180,2299,747,3479,4.66,289.9
7,Alabama,12,967,2563,764,3530,4.62,294.2
8,Cincinnati,12,1701,1938,848,3639,4.29,303.3
9,Clemson,12,1186,2515,834,3701,4.44,308.4
10,Iowa State,12,1462,2248,725,3710,5.12,309.2
11,San Diego State,12,942,2828,827,3770,4.56,314.2
12,Liberty,12,1694,2090,791,3784,4.78,315.3
12,Appalachian State,12,1307,2476,775,3783,4.88,315.3
14,Iowa,12,1270,2520,839,3790,4.52,315.8
15,Michigan,12,1476,2356,802,3832,4.78,319.3
16,Coastal Carolina,12,1542,2293,748,3835,5.13,319.6
17,UAB,12,1250,2630,793,3880,4.89,323.3
18,Army,11,1140,2425,612,3565,5.83,324.1
19,Utah,12,1521,2392,793,3913,4.93,326.1
20,Texas A&M,12,1618,2312,844,3930,4.66,327.5
21,Arizona State,12,1552,2396,795,3948,4.97,329
22,Syracuse,12,1513,2451,776,3964,5.11,330.3
23,North Carolina State,12,1479,2491,804,3970,4.94,330.8
24,Mississippi State,12,1214,2761,735,3975,5.41,331.3
25,Washington,12,2328,1715,806,4043,5.02,336.9
26,Kentucky,12,1414,2631,744,4045,5.44,337.1
27,Troy,12,1714,2339,799,4053,5.07,337.8
28,Western Michigan,12,1765,2302,687,4067,5.92,338.9
29,UTEP,12,1624,2444,793,4068,5.13,339
30,Notre Dame,12,1527,2544,792,4071,5.14,339.3
31,Purdue,12,1754,2335,752,4089,5.44,340.8
32,Fresno State,12,1524,2583,803,4107,5.11,342.3
33,Toledo,12,1810,2307,848,4117,4.85,343.1
34,Boston College,12,2043,2082,760,4125,5.43,343.8
35,Penn State,12,1646,2500,887,4146,4.67,345.5
36,Wyoming,12,2030,2130,814,4160,5.11,346.7
37,UTSA,12,1459,2702,772,4161,5.39,346.8
38,Kansas State,12,1516,2660,787,4176,5.31,348
39,Baylor,12,1448,2745,766,4193,5.47,349.4
40,Louisiana-Lafayette,12,1726,2470,814,4196,5.15,349.7
40,West Virginia,12,1555,2641,757,4196,5.54,349.7
42,Pittsburgh,12,1111,3133,807,4244,5.26,353.7
43,South Alabama,12,1755,2501,787,4256,5.41,354.7
44,South Carolina,12,2145,2145,770,4290,5.57,357.5
45,Southern Mississippi,12,1868,2425,743,4293,5.78,357.8
46,Navy,11,1448,2510,647,3958,6.12,359.8
47,Florida,12,1843,2503,798,4346,5.45,362.2
48,California,11,1497,2489,750,3986,5.31,362.4
49,New Mexico,12,1716,2641,816,4357,5.34,363.1
50,Boise State,12,1904,2475,800,4379,5.47,364.9
51,Ohio State,12,1422,2959,841,4381,5.21,365.1
52,Nebraska,12,1763,2629,828,4392,5.3,366
53,Middle Tennessee,12,1533,2863,870,4396,5.05,366.3
