,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Ohio State,12,2234,4379,850,6613,7.78,551.1
2,Western Kentucky,12,1229,5073,895,6302,7.04,525.2
3,Virginia,12,1485,4711,892,6196,6.95,516.3
4,Pittsburgh,12,1873,4280,942,6153,6.53,512.8
5,Mississippi,12,2691,3389,929,6080,6.54,506.7
6,Coastal Carolina,12,2775,3142,776,5917,7.63,493.1
7,Alabama,12,1804,4102,889,5906,6.64,492.2
8,Kent State,12,2969,2892,912,5861,6.43,488.4
9,Wake Forest,12,2017,3786,923,5803,6.29,483.6
10,North Carolina,12,2640,3119,844,5759,6.82,479.9
11,Marshall,12,1918,3731,883,5649,6.4,470.8
12,Florida,12,2508,3133,844,5641,6.68,470.1
13,SMU,12,1937,3654,890,5591,6.28,465.9
14,Western Michigan,12,2431,3136,893,5567,6.23,463.9
15,Fresno State,12,1602,3961,877,5563,6.34,463.6
16,Tennessee,12,2544,2964,848,5508,6.5,459
17,Utah State,12,1838,3657,920,5495,5.97,457.9
18,BYU,12,2237,3238,810,5475,6.76,456.3
19,Michigan,12,2699,2715,845,5414,6.41,451.2
20,Louisville,12,2536,2867,809,5403,6.68,450.3
21,Mississippi State,12,767,4630,902,5397,5.98,449.8
22,Miami (Florida),12,1532,3854,879,5386,6.13,448.8
23,Central Michigan,12,2182,3191,895,5373,6,447.8
24,USC,11,1603,3315,822,4918,5.98,447.1
25,Nebraska,12,2162,3197,832,5359,6.44,446.6
26,Baylor,12,2735,2617,819,5352,6.53,446
27,Georgia,12,2427,2883,752,5310,7.06,442.5
28,UCLA,12,2581,2714,854,5295,6.2,441.3
29,Arkansas,12,2608,2683,824,5291,6.42,440.9
30,North Texas,12,2954,2335,969,5289,5.46,440.8
31,Oklahoma,12,2104,3183,781,5287,6.77,440.6
32,Appalachian State,12,2269,3010,838,5279,6.3,439.9
33,Nevada,12,885,4390,855,5275,6.17,439.6
34,Maryland,12,1568,3685,875,5253,6,437.8
35,Iowa State,12,2023,3226,797,5249,6.59,437.4
36,TCU,12,2355,2875,783,5230,6.68,435.8
36,Memphis,12,1645,3585,861,5230,6.07,435.8
38,Tulsa,12,2252,2969,861,5221,6.06,435.1
39,Utah,12,2624,2593,814,5217,6.41,434.8
40,Oregon,12,2568,2645,820,5213,6.36,434.4
41,UTSA,12,2144,3054,858,5198,6.06,433.2
41,East Carolina,12,1945,3253,899,5198,5.78,433.2
43,Toledo,12,2323,2873,789,5196,6.59,433
44,Cincinnati,12,2133,3043,760,5176,6.81,431.3
45,Oregon State,12,2608,2557,802,5165,6.44,430.4
46,Michigan State,12,2227,2937,793,5164,6.51,430.3
47,Kentucky,12,2473,2686,787,5159,6.56,429.9
48,Liberty,12,2123,3020,828,5143,6.21,428.6
49,Northern Illinois,12,2778,2340,840,5118,6.09,426.5
50,Miami (Ohio),12,1716,3391,801,5107,6.38,425.6
51,Texas,12,2391,2705,803,5096,6.35,424.7
52,Air Force,12,4104,990,884,5094,5.76,424.5
53,Purdue,12,999,4082,887,5081,5.73,423.4
54,Houston,12,1791,3269,833,5060,6.07,421.7
55,Duke,12,2166,2855,934,5021,5.38,418.4
56,Notre Dame,12,1830,3163,814,4993,6.13,416.1
57,Colorado State,12,1969,3020,911,4989,5.48,415.8
58,North Carolina State,12,1514,3461,815,4975,6.1,414.6
