Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
1,Washington,7,192,112,58.3,976,5.1,4,6,101.65,27.4,139.4
2,Georgia,7,202,112,55.4,1014,5,3,8,94.6,28.9,144.9
3,Wyoming,7,187,110,58.8,1064,5.7,8,6,114.32,26.7,152
4,Temple,7,179,108,60.3,1104,6.2,11,3,129.08,25.6,157.7
5,Purdue,7,180,95,52.8,1123,6.2,3,6,104.02,25.7,160.4
6,Iowa State,7,162,97,59.9,1141,7,9,5,131.2,23.1,163
7,Cincinnati,7,219,111,50.7,1146,5.2,4,12,89.72,31.3,163.7
8,Arkansas,8,202,113,55.9,1340,6.6,5,7,112.91,25.3,167.5
9,Bowling Green,8,204,123,60.3,1357,6.7,9,6,124.85,25.5,169.6
10,Wisconsin,7,198,110,55.6,1188,6,7,5,112.58,28.3,169.7
11,Marshall,7,214,113,52.8,1190,5.6,8,8,104.37,30.6,170
12,Houston,7,170,98,57.6,1214,7.1,7,6,124.16,24.3,173.4
13,Arizona,7,148,84,56.8,1235,8.3,13,3,151.8,21.1,176.4
14,South Carolina,8,212,126,59.4,1420,6.7,10,11,120.88,26.5,177.5
15,Penn State,7,241,134,55.6,1246,5.2,4,9,97.04,34.4,178
15,Liberty,8,227,126,55.5,1424,6.3,8,7,113.66,28.4,178
17,Coastal Carolina,7,180,100,55.6,1256,7,4,2,119.29,25.7,179.4
18,Toledo,8,232,126,54.3,1452,6.3,7,5,112.54,29,181.5
19,Air Force,8,221,121,54.8,1455,6.6,9,5,118.98,27.6,181.9
20,Michigan,7,205,112,54.6,1277,6.2,9,4,117.54,29.3,182.4
21,Florida Atlantic,7,211,111,52.6,1315,6.2,8,8,109.89,30.1,187.9
22,Boston College,7,183,109,59.6,1327,7.3,7,8,124.35,26.1,189.6
23,Arizona State,7,205,118,57.6,1335,6.5,7,10,113.77,29.3,190.7
24,Troy,7,178,110,61.8,1340,7.5,7,12,124.54,25.4,191.4
25,Syracuse,8,222,148,66.7,1540,6.9,12,3,140.08,27.8,192.5
26,Colorado State,7,208,117,56.3,1359,6.5,10,5,122.2,29.7,194.1
27,Western Michigan,8,202,109,54,1556,7.7,17,3,143.47,25.3,194.5
28,Florida,7,215,118,54.9,1383,6.4,10,4,120.55,30.7,197.6
29,Baylor,7,204,121,59.3,1392,6.8,6,8,118.5,29.1,198.9
30,Northwestern,7,223,147,65.9,1394,6.3,5,3,123.14,31.9,199.1
31,San Diego State,7,263,138,52.5,1397,5.3,10,9,102.8,37.6,199.6
32,Texas A&M,8,273,164,60.1,1599,5.9,9,9,113.56,34.1,199.9
33,New Mexico,8,237,122,51.5,1602,6.8,8,7,113.49,29.6,200.3
34,Kentucky,7,222,143,64.4,1412,6.4,11,3,131.48,31.7,201.7
34,Missouri,7,179,104,58.1,1412,7.9,14,8,141.23,25.6,201.7
36,Ohio,8,222,154,69.4,1620,7.3,9,4,140.44,27.8,202.5
37,Stanford,7,204,117,57.4,1419,7,8,4,124.8,29.1,202.7
38,Virginia Tech,7,220,126,57.3,1421,6.5,11,7,121.67,31.4,203
39,UTEP,7,213,113,53.1,1431,6.7,7,7,113.75,30.4,204.4
40,South Alabama,7,204,116,56.9,1432,7,8,8,120.93,29.1,204.6
41,Boise State,7,187,108,57.8,1456,7.8,7,8,126.94,26.7,208
41,Buffalo,8,194,114,58.8,1664,8.6,11,3,146.43,24.3,208
43,Nebraska,8,260,166,63.8,1668,6.4,9,8,123.01,32.5,208.5
44,UCF,7,236,144,61,1460,6.2,8,7,118.24,33.7,208.6
45,Eastern Michigan,8,249,143,57.4,1670,6.7,6,4,118.51,31.1,208.8
46,Pittsburgh,7,222,122,55,1466,6.6,9,7,117.5,31.7,209.4
46,UAB,8,236,133,56.4,1675,7.1,16,8,131.56,29.5,209.4
48,Miami (Ohio),8,222,140,63.1,1687,7.6,15,4,145.59,27.8,210.9
49,Iowa,7,255,144,56.5,1480,5.8,7,16,101.73,36.4,211.4
50,Utah,7,223,141,63.2,1500,6.7,12,5,133.01,31.9,214.3
51,Southern Mississippi,7,180,118,65.6,1508,8.4,13,3,156.44,25.7,215.4
52,Clemson,7,252,149,59.1,1512,6,7,6,113.94,36,216
53,Colorado,7,224,135,60.3,1517,6.8,8,3,126.25,32,216.7
54,Auburn,7,215,143,66.5,1524,7.1,10,4,137.68,30.7,217.7
55,Alabama,8,245,158,64.5,1753,7.2,12,11,131.77,30.6,219.1
56,North Carolina State,7,245,141,57.6,1536,6.3,13,8,121.19,35,219.4
57,North Carolina,7,207,127,61.4,1538,7.4,11,7,134.54,29.6,219.7
58,Fresno State,8,261,146,55.9,1759,6.7,13,6,124.39,32.6,219.9
58,Rutgers,7,187,100,53.5,1539,8.2,11,4,137.74,26.7,219.9
60,Oklahoma State,7,227,134,59,1557,6.9,6,4,121.85,32.4,222.4
60,San Jose State,8,260,160,61.5,1779,6.8,12,1,133.47,32.5,222.4
62,Navy,7,183,118,64.5,1562,8.5,10,6,147.65,26.1,223.1
63,Charlotte,7,163,98,60.1,1565,9.6,16,2,170.71,23.3,223.6
64,Washington State,8,266,159,59.8,1803,6.8,9,7,122.61,33.3,225.4
65,Minnesota,7,225,129,57.3,1584,7,9,4,126.11,32.1,226.3
66,Kansas,7,168,120,71.4,1586,9.4,12,3,170.73,24,226.6
67,Old Dominion,7,220,139,63.2,1595,7.3,18,3,148.35,31.4,227.9
