Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Georgia,7,444,1014,408,1458,3.57,208.3
2,Wisconsin,7,373,1188,397,1561,3.93,223
3,Iowa State,7,693,1141,400,1834,4.59,262
4,Houston,7,733,1214,424,1947,4.59,278.1
5,San Diego State,7,557,1397,484,1954,4.04,279.1
6,Air Force,8,796,1455,449,2251,5.01,281.4
7,Troy,7,666,1340,438,2006,4.58,286.6
8,Colorado State,7,688,1359,454,2047,4.51,292.4
9,Cincinnati,7,929,1146,499,2075,4.16,296.4
10,UTEP,7,648,1431,438,2079,4.75,297
11,Michigan,7,816,1277,434,2093,4.82,299
12,Purdue,7,978,1123,431,2101,4.87,300.1
13,Iowa,7,629,1480,485,2109,4.35,301.3
14,Liberty,8,992,1424,532,2416,4.54,302
15,Alabama,8,716,1753,494,2469,5,308.6
16,North Carolina State,7,640,1536,450,2176,4.84,310.9
17,Wyoming,7,1114,1064,474,2178,4.59,311.1
18,Minnesota,7,600,1584,415,2184,5.26,312
19,Coastal Carolina,7,940,1256,433,2196,5.07,313.7
20,Oklahoma State,7,660,1557,458,2217,4.84,316.7
21,Pittsburgh,7,765,1466,448,2231,4.98,318.7
22,Western Michigan,8,1010,1556,459,2566,5.59,320.8
23,Kentucky,7,834,1412,444,2246,5.06,320.9
24,Arizona State,7,912,1335,454,2247,4.95,321
25,UAB,8,912,1675,521,2587,4.97,323.4
26,Penn State,7,1025,1246,527,2271,4.31,324.4
27,Syracuse,8,1060,1540,524,2600,4.96,325
28,Mississippi State,7,650,1639,408,2289,5.61,327
29,Toledo,8,1169,1452,554,2621,4.73,327.6
30,Texas A&M,8,1035,1599,553,2634,4.76,329.3
31,Army,7,648,1680,363,2328,6.41,332.6
32,Baylor,7,941,1392,465,2333,5.02,333.3
33,UTSA,8,635,2033,518,2668,5.15,333.5
34,Arkansas,8,1335,1340,517,2675,5.17,334.4
35,Washington,7,1366,976,472,2342,4.96,334.6
35,South Alabama,7,910,1432,462,2342,5.07,334.6
37,Clemson,7,840,1512,513,2352,4.58,336
